Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Cost per item,Status
faith-over-fear-hoodie,Faith Over Fear Hoodie,"<p>Faith over fear, worn heavy. An oversized, garment-washed hoodie cut from 440 g/m² combed cotton, with FAITH OVER FEAR across the back. Made to order for you.</p><h3>Features</h3><ul><li>Snug collar</li><li>Kangaroo pocket</li><li>Drop shoulders</li><li>Oversized fit</li><li>Washed effect</li></ul><h3>Fabric</h3><ul><li>100% combed cotton</li><li>32 count plain weave</li><li>Pre-shrunk</li><li>Washed and easy to fade</li><li>440 g/m²</li></ul><h3>Construction</h3><ul><li>Side-seamed</li><li>Binding-taped neck and shoulders</li><li>Double-stitched ribbed cuffs and hem</li></ul>",EDEN,Hoodie,"chapter-001, hoodie, faith-over-fear",TRUE,Color,Black,Size,S,EDEN-FOF-HD-BLK-S,800,,deny,manual,95.00,,TRUE,TRUE,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-black-front.jpg,1,"EDEN Faith Over Fear hoodie in black, front",FALSE,Faith Over Fear Hoodie | EDEN,"Oversized washed hoodie in 440 g/m² combed cotton. FAITH OVER FEAR on the back. Six colourways, S to 2XL. Made to order, shipped worldwide.",https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-black-front.jpg,g,43.26,active
faith-over-fear-hoodie,,,,,,,,Black,,M,EDEN-FOF-HD-BLK-M,800,,deny,manual,95.00,,TRUE,TRUE,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-black-back.jpg,2,"EDEN Faith Over Fear hoodie in black, back",,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-black-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Black,,L,EDEN-FOF-HD-BLK-L,800,,deny,manual,95.00,,TRUE,TRUE,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-olive-front.jpg,3,"EDEN Faith Over Fear hoodie in olive, front",,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-black-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Black,,XL,EDEN-FOF-HD-BLK-XL,800,,deny,manual,95.00,,TRUE,TRUE,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-olive-back.jpg,4,"EDEN Faith Over Fear hoodie in olive, back",,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-black-front.jpg,g,45.23,
faith-over-fear-hoodie,,,,,,,,Black,,2XL,EDEN-FOF-HD-BLK-2XL,800,,deny,manual,95.00,,TRUE,TRUE,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-charcoal-front.jpg,5,"EDEN Faith Over Fear hoodie in charcoal, front",,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-black-front.jpg,g,45.23,
faith-over-fear-hoodie,,,,,,,,Olive,,S,EDEN-FOF-HD-OLV-S,800,,deny,manual,95.00,,TRUE,TRUE,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-charcoal-back.jpg,6,"EDEN Faith Over Fear hoodie in charcoal, back",,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-olive-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Olive,,M,EDEN-FOF-HD-OLV-M,800,,deny,manual,95.00,,TRUE,TRUE,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-teal-front.jpg,7,"EDEN Faith Over Fear hoodie in teal, front",,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-olive-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Olive,,L,EDEN-FOF-HD-OLV-L,800,,deny,manual,95.00,,TRUE,TRUE,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-teal-back.jpg,8,"EDEN Faith Over Fear hoodie in teal, back",,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-olive-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Olive,,XL,EDEN-FOF-HD-OLV-XL,800,,deny,manual,95.00,,TRUE,TRUE,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-blue-front.jpg,9,"EDEN Faith Over Fear hoodie in blue, front",,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-olive-front.jpg,g,45.23,
faith-over-fear-hoodie,,,,,,,,Olive,,2XL,EDEN-FOF-HD-OLV-2XL,800,,deny,manual,95.00,,TRUE,TRUE,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-blue-back.jpg,10,"EDEN Faith Over Fear hoodie in blue, back",,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-olive-front.jpg,g,45.23,
